timestamp_s,flight_id,altitude_m,airspeed_ms,pitch_deg,roll_deg,yaw_deg,motor1_temp_c,motor2_temp_c,motor3_temp_c,motor4_temp_c,battery_v,battery_pct,vibration_g
0.0,FLT_002,0.0,0.0,8.0,-0.256,359.964,55.52,54.67,56.33,53.8,52.07,99.9,0.2668
0.1,FLT_002,0.29,0.04,8.0,-3.049,359.951,55.61,52.88,55.09,55.06,51.873,100.0,0.262
0.2,FLT_002,0.0,0.08,8.0,-0.425,359.892,53.79,56.53,53.9,54.66,51.957,100.0,0.2957
0.3,FLT_002,0.11,0.12,8.0,-1.226,359.877,56.18,55.23,54.61,54.4,52.012,99.6,0.2896
0.4,FLT_002,0.7,0.16,8.0,2.672,359.817,55.02,54.61,55.12,54.35,51.946,100.0,0.2721
0.5,FLT_002,0.97,0.2,8.0,1.123,359.783,55.89,54.37,53.51,57.82,51.769,99.8,0.3302
0.6,FLT_002,1.1,0.24,8.0,-6.024,359.741,56.0,54.33,54.12,55.69,51.813,99.6,0.3387
0.7,FLT_002,2.24,0.28,8.0,0.101,359.788,54.35,56.04,55.52,55.29,52.199,99.7,0.2544
0.8,FLT_002,1.62,0.32,8.0,-2.273,359.838,55.19,56.46,54.8,55.14,52.1,100.0,0.2677
0.9,FLT_002,2.28,0.36,8.0,-2.905,359.852,54.24,55.61,54.14,56.22,52.042,99.4,0.3762
1.0,FLT_002,3.12,0.4,8.0,-4.579,360.0,56.32,53.34,56.03,53.76,51.963,99.6,0.2795
1.1,FLT_002,1.96,0.44,8.0,1.753,0.107,54.57,54.98,54.55,54.64,51.906,99.7,0.352
1.2,FLT_002,2.47,0.48,8.0,2.026,0.238,55.81,56.07,54.89,55.0,52.01,100.0,0.264
1.3,FLT_002,3.01,0.52,8.0,-3.0,0.164,55.63,53.95,55.04,54.78,51.873,99.6,0.2616
1.4,FLT_002,2.86,0.56,8.0,2.238,0.048,55.28,53.83,55.36,55.28,52.066,99.5,0.2645
1.5,FLT_002,2.86,0.6,8.0,4.205,0.076,56.98,53.71,57.31,56.92,52.018,99.6,0.2734
1.6,FLT_002,4.37,0.64,8.0,-0.413,0.118,56.28,54.49,55.98,53.27,51.969,100.0,0.3366
1.7,FLT_002,4.0,0.68,8.0,-1.807,0.018,52.96,54.42,54.03,53.04,51.931,100.0,0.263
1.8,FLT_002,2.55,0.72,8.0,-0.146,0.051,56.62,54.28,55.47,57.81,51.927,99.7,0.2918
1.9,FLT_002,4.48,0.76,8.0,2.337,359.879,54.89,53.71,56.87,54.85,51.985,98.9,0.2445
2.0,FLT_002,4.8,0.8,8.0,2.632,359.845,55.85,52.28,55.3,54.94,51.83,99.9,0.2867
2.1,FLT_002,4.8,0.84,8.0,-0.07,359.715,54.63,55.97,54.33,54.72,52.185,99.3,0.2454
2.2,FLT_002,4.78,0.88,8.0,-1.838,359.756,55.1,55.87,54.75,54.84,51.904,99.7,0.2774
2.3,FLT_002,5.38,0.92,8.0,0.486,359.835,54.83,54.83,53.68,55.76,51.823,99.2,0.2565
2.4,FLT_002,5.24,0.96,8.0,-0.195,359.627,55.83,53.37,54.55,56.32,52.021,99.2,0.3103
2.5,FLT_002,5.29,1.0,8.0,0.238,359.317,55.11,54.68,53.89,56.26,51.891,99.5,0.2852
2.6,FLT_002,5.27,1.04,8.0,-0.773,359.475,54.3,55.69,56.92,55.12,51.887,99.7,0.3116
2.7,FLT_002,4.87,1.08,8.0,0.383,359.358,56.42,55.47,56.01,54.75,51.938,98.8,0.3797
2.8,FLT_002,4.91,1.12,8.0,-3.728,359.303,54.12,54.54,54.65,55.27,51.879,99.2,0.2828
2.9,FLT_002,6.19,1.16,8.0,0.718,359.198,55.71,53.45,55.16,55.32,51.873,99.7,0.2894
3.0,FLT_002,6.38,1.2,8.0,2.273,359.314,55.05,53.96,55.41,55.37,51.91,99.2,0.3167
3.1,FLT_002,6.18,1.24,8.0,-0.38,359.408,55.83,54.78,55.3,55.56,52.062,99.1,0.3636
3.2,FLT_002,5.97,1.28,8.0,0.251,359.374,55.05,53.66,52.73,54.19,51.901,99.3,0.2923
3.3,FLT_002,6.04,1.32,8.0,-3.211,359.442,53.29,55.25,53.98,54.34,51.9,99.9,0.1594
3.4,FLT_002,6.62,1.36,8.0,1.041,359.47,56.77,54.61,56.19,55.04,52.023,99.7,0.2396
3.5,FLT_002,7.35,1.4,8.0,1.854,359.501,53.56,54.96,52.68,55.22,51.715,99.5,0.1877
3.6,FLT_002,8.32,1.44,8.0,3.282,359.564,54.07,54.98,54.34,56.18,51.973,99.3,0.3278
3.7,FLT_002,7.39,1.48,8.0,-4.749,359.563,55.04,54.69,54.51,55.21,51.975,99.6,0.2501
3.8,FLT_002,7.75,1.52,8.0,1.057,359.511,54.62,52.69,54.46,55.0,51.916,99.6,0.2562
3.9,FLT_002,8.36,1.56,8.0,-3.48,359.6,54.25,55.25,55.11,52.81,51.868,99.1,0.2422
4.0,FLT_002,7.97,1.6,8.0,0.782,359.616,54.29,56.32,55.53,55.63,51.904,99.1,0.317
4.1,FLT_002,8.39,1.64,8.0,-1.109,359.615,55.97,54.75,54.44,55.84,51.868,99.2,0.2996
4.2,FLT_002,8.81,1.68,8.0,1.001,359.626,56.11,56.23,54.36,55.66,51.921,99.5,0.2371
4.3,FLT_002,9.15,1.72,8.0,0.862,359.564,54.89,55.71,54.91,54.97,51.869,99.5,0.2903
4.4,FLT_002,8.83,1.76,8.0,0.166,359.432,55.8,54.67,54.63,56.06,51.998,99.1,0.2445
4.5,FLT_002,8.76,1.8,8.0,-0.913,359.369,55.41,54.01,56.16,56.46,51.851,99.0,0.3305
4.6,FLT_002,9.3,1.84,8.0,0.324,359.391,55.3,54.68,56.61,56.55,51.866,99.4,0.3167
