timestamp_s,flight_id,altitude_m,airspeed_ms,pitch_deg,roll_deg,yaw_deg,motor1_temp_c,motor2_temp_c,motor3_temp_c,motor4_temp_c,battery_v,battery_pct,vibration_g,altitude_ms_rate,airspeed_ms_rate,motor_max_temp,motor_temp_spread,motor_temp_zscore,vibration_zscore,phase,fault_flag,fault_reason
0.0,FLT_004,0.51,0.0,8.0,0.579,0.182,57.12,55.68,54.47,56.5,52.0,99.8,0.2665,,,57.12,2.6499999999999986,,,landing,False,
0.1,FLT_004,0.0,0.04,8.0,-1.781,0.221,56.57,56.9,55.87,56.49,51.974,100.0,0.3707,-5.1,0.4,56.9,1.0300000000000011,,,landing,False,
0.2,FLT_004,0.19,0.08,8.0,0.906,0.187,54.38,55.81,55.46,54.54,51.984,99.8,0.3433,1.9,0.4,55.81,1.4299999999999997,,,landing,False,
0.3,FLT_004,0.64,0.12,8.0,-3.102,0.266,56.57,55.1,55.83,56.68,51.965,100.0,0.262,4.5,0.3999999999999999,56.68,1.5799999999999983,,,landing,False,
0.4,FLT_004,0.98,0.16,8.0,0.463,0.344,55.16,55.04,54.45,55.12,51.955,99.9,0.2281,3.3999999999999995,0.4000000000000001,55.16,0.7099999999999937,-1.4261172563755555,-1.0989281908397297,landing,False,
0.5,FLT_004,1.32,0.2,8.0,-1.888,0.364,53.6,56.27,55.61,55.98,51.886,99.8,0.377,3.400000000000001,0.4000000000000001,56.27,2.6700000000000017,-0.07238816226610566,1.0876640870872045,landing,False,
0.6,FLT_004,0.39,0.24,8.0,-3.67,0.53,54.69,54.56,54.89,54.21,51.854,99.4,0.2955,-9.3,0.3999999999999998,54.89,0.6799999999999997,-1.4225739592669913,-0.183246025515752,landing,False,
0.7,FLT_004,1.5,0.28,8.0,-1.383,0.441,54.68,52.97,54.85,53.5,51.988,100.0,0.374,11.099999999999998,0.40000000000000036,54.85,1.8800000000000026,-1.21077855100354,1.0070896482669343,landing,False,
0.8,FLT_004,1.68,0.32,8.0,1.904,0.404,56.42,55.95,54.31,53.14,51.888,99.8,0.2638,1.7999999999999994,0.3999999999999998,56.42,3.280000000000001,0.4693635446723031,-0.7834001110270805,landing,False,
0.9,FLT_004,1.83,0.36,8.0,-0.464,0.398,54.84,55.35,53.04,53.56,51.945,100.0,0.2508,1.5000000000000013,0.3999999999999998,55.35,2.3100000000000023,-0.7020454024280309,-0.9121651903988415,landing,False,
1.0,FLT_004,2.76,0.4,8.0,2.892,0.489,53.9,54.8,55.78,55.12,52.08,100.0,0.2877,9.299999999999997,0.40000000000000036,55.78,1.8800000000000026,-0.18620376055765728,-0.2572646782894374,landing,False,
